id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_win_diff,odd_draw,result,goal_diff,goal_diff_label
36112,1/19/2015,Finland,Sweden,Finland,Friendly,-57,11,-2,4,0,1,1.9434000000000002,3.3855,win,1,win_1
36111,1/19/2015,Canada,Iceland,Canada,Friendly,-1,1,-7,-6,-4,4,-3.0328,3.4476,draw,0,draw_0
36119,1/20/2015,Cameroon,Mali,Mali,African Cup of Nations,5,2,-4,0,0,2,-1.8562000000000003,3.1469,draw,0,draw_0
36116,1/20/2015,Iraq,Palestine,Iraq,AFC Asian Cup,9,2,-16,-6,-3,4,-15.970999999999998,7.531000000000001,win,2,win_2
36118,1/20/2015,Japan,Jordan,Japan,AFC Asian Cup,0,3,9,8,4,0,-8.5483,4.9555,win,2,win_2
36120,1/21/2015,Burkina Faso,Equatorial Guinea,Equatorial Guinea,African Cup of Nations,1,0,-6,1,3,2,-1.5716999999999999,3.1521,draw,0,draw_0
36121,1/21/2015,Congo,Gabon,Gabon,African Cup of Nations,4,7,2,4,2,-3,1.9486,3.1779,win,1,win_1
36126,1/22/2015,Tunisia,Zambia,Zambia,African Cup of Nations,3,3,-7,-1,1,1,-1.5093,2.9448,win,1,win_1
36123,1/22/2015,Australia,China,China,AFC Asian Cup,0,1,1,8,-3,-3,-3.8066,3.8903,win,2,win_2
36125,1/22/2015,Finland,Yemen,Yemen,Friendly,0,0,2,8,2,-3,-12.506499999999999,5.6476,draw,0,draw_0
36127,1/23/2015,Algeria,Ghana,Ghana,African Cup of Nations,0,2,-4,0,2,-1,-1.1524,3.0452,lose,-1,lose_1
36130,1/23/2015,Senegal,South Africa,South Africa,African Cup of Nations,2,3,7,-2,1,-2,-2.0187,3.1921,draw,0,draw_0
36129,1/23/2015,Japan,United Arab Emirates,Japan,AFC Asian Cup,2,6,0,1,0,-1,-7.208,4.3369,draw,0,draw_0
36131,1/24/2015,Cameroon,Guinea,Cameroon,African Cup of Nations,4,6,-12,-2,-1,3,-1.8152,3.1386,draw,0,draw_0
36133,1/25/2015,Burkina Faso,Congo,Congo,African Cup of Nations,1,1,0,1,1,1,-1.2378,3.0089,lose,-1,lose_1
36134,1/25/2015,Equatorial Guinea,Gabon,Gabon,African Cup of Nations,-5,3,5,4,-2,0,1.1782999999999997,3.0169,win,2,win_2
36139,1/27/2015,Algeria,Senegal,Senegal,African Cup of Nations,6,3,2,0,-1,0,-0.09310000000000018,2.9093,win,2,win_2
36140,1/27/2015,Ghana,South Africa,South Africa,African Cup of Nations,-2,2,6,4,-2,-1,-1.7134000000000005,3.1631,win,1,win_1
36138,1/27/2015,Australia,United Arab Emirates,Australia,AFC Asian Cup,0,2,-3,2,-2,-1,-6.5127999999999995,4.0621,win,2,win_2
36141,1/28/2015,Cameroon,Ivory Coast,Cameroon,African Cup of Nations,2,4,-4,-5,1,2,0.9782000000000002,3.0045,lose,-1,lose_1
36143,1/28/2015,Guinea,Mali,Guinea,African Cup of Nations,4,14,6,1,1,1,0.1907000000000001,2.8972,draw,0,draw_0
36142,1/28/2015,Chile,United States,Chile,Friendly,1,2,0,-4,1,0,-1.7059,3.4545,win,1,win_1
36145,1/30/2015,Iraq,United Arab Emirates,Iraq,AFC Asian Cup,3,9,-8,-2,-2,1,0.5344000000000002,3.1631,lose,-1,lose_1
36147,1/31/2015,Congo,Congo DR,Congo,African Cup of Nations,-4,9,-1,-1,1,-1,0.4034,2.7412,lose,-2,lose_2
36149,1/31/2015,Equatorial Guinea,Tunisia,Tunisia,African Cup of Nations,-1,1,5,3,-4,0,1.9965000000000006,3.0245,win,0,draw_0
36151,2/1/2015,Ghana,Guinea,Ghana,African Cup of Nations,8,7,-2,-1,0,0,-2.7015000000000002,3.1757,win,3,win_3
36154,2/2/2015,Bangladesh,Sri Lanka,Bangladesh,Friendly,3,1,-13,-5,-1,3,-5.6028,3.9709,win,1,win_1
36157,2/5/2015,Equatorial Guinea,Ghana,Ghana,African Cup of Nations,0,0,-2,-3,-3,2,3.8647,3.48,lose,-3,lose_3
36156,2/4/2015,Honduras,Venezuela,Honduras,Friendly,-2,2,-1,8,-3,0,-0.9213000000000005,3.1727,lose,-1,lose_1
36161,2/8/2015,Panama,United States,United States,Friendly,-10,2,5,-4,-2,1,4.7783999999999995,3.8904,lose,-2,lose_2
36165,3/12/2015,Cambodia,Macau,Cambodia,FIFA World Cup qualification,2,0,-2,3,0,-1,-2.7528000000000006,3.8071,win,3,win_3
36168,3/12/2015,Bhutan,Sri Lanka,Sri Lanka,FIFA World Cup qualification,-5,0,-4,8,-3,-1,15.995000000000001,9.0581,win,1,win_1
36167,3/12/2015,India,Nepal,India,FIFA World Cup qualification,2,1,-6,7,1,1,-10.1046,5.5392,win,2,win_2
36169,3/12/2015,Pakistan,Yemen,Yemen,FIFA World Cup qualification,-1,0,11,4,1,-5,7.611599999999999,4.2812,lose,-2,lose_2
36174,3/17/2015,East Timor,Mongolia,Mongolia,FIFA World Cup qualification,1,0,-4,14,0,0,0.6459999999999999,3.3089999999999997,win,1,win_1
36175,3/17/2015,India,Nepal,Nepal,FIFA World Cup qualification,3,1,-1,6,1,1,-3.5336,3.5508,draw,0,draw_0
36171,3/17/2015,Bhutan,Sri Lanka,Bhutan,FIFA World Cup qualification,-4,0,0,10,-3,-1,2.3971999999999998,3.7721,win,1,win_1
36178,3/23/2015,Pakistan,Yemen,Pakistan,FIFA World Cup qualification,-2,0,15,4,3,-6,6.9552,4.2844,draw,0,draw_0
36186,3/25/2015,Cameroon,Indonesia,Indonesia,Friendly,0,1,-7,1,0,3,-11.127500000000001,6.4539,win,1,win_1
36184,3/25/2015,Georgia,Malta,Georgia,Friendly,3,2,-8,-5,2,1,-7.3458,4.1610000000000005,win,2,win_2
36188,3/25/2015,Nigeria,Uganda,Nigeria,Friendly,0,1,1,9,-2,0,-6.398399999999999,4.136,lose,-1,lose_1
36190,3/25/2015,South Africa,Swaziland,Swaziland,Friendly,4,0,5,4,4,1,-11.0334,5.8115,win,2,win_2
36183,3/25/2015,Gabon,Mali,Gabon,Friendly,2,3,-2,-5,0,1,0.5303,2.9346,win,1,win_1
36180,3/25/2015,Denmark,United States,Denmark,Friendly,1,1,1,-3,2,0,-1.8962999999999999,3.4210000000000003,win,1,win_1
36185,3/25/2015,Australia,Germany,Germany,Friendly,-2,0,-1,-5,-2,0,13.9617,7.551,draw,0,draw_0
36200,3/26/2015,Singapore,Thailand,Thailand,Friendly,-17,12,1,7,-3,0,5.8865,4.2397,lose,-2,lose_2
36198,3/26/2015,Malaysia,Oman,Oman,Friendly,-1,0,10,-4,1,-2,10.453899999999999,5.3979,lose,-6,lose_3
36196,3/26/2015,Jordan,Syria,Jordan,Friendly,3,10,-7,4,-1,0,-3.3556,3.4307,lose,-1,lose_1
36193,3/26/2015,Egypt,Equatorial Guinea,Egypt,Friendly,0,0,-3,-1,3,-2,-8.616000000000001,5.1046,win,2,win_2
36199,3/26/2015,Algeria,Qatar,Qatar,Friendly,2,1,0,-2,3,-3,-2.3648,3.2821,lose,-1,lose_1
36191,3/26/2015,Bahrain,Colombia,Bahrain,Friendly,0,0,-2,-6,-3,1,9.1452,5.1021,lose,-6,lose_3
36194,3/26/2015,Brazil,France,France,Friendly,1,4,-4,15,0,-1,0.5,3.1648,win,2,win_2
36209,3/27/2015,Austria,Liechtenstein,Liechtenstein,UEFA Euro qualification,7,0,-10,2,6,2,-16.5514,6.85,win,5,win_3
36213,3/27/2015,Luxembourg,Slovakia,Slovakia,UEFA Euro qualification,-1,0,9,7,-7,2,15.9745,7.0848,lose,-3,lose_3
36214,3/27/2015,San Marino,Slovenia,Slovenia,UEFA Euro qualification,-2,0,13,17,-5,0,50.6047,17.4531,lose,-6,lose_3
36215,3/27/2015,Spain,Ukraine,Spain,UEFA Euro qualification,2,1,3,3,-2,0,-8.7641,5.0117,win,1,win_1
