,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37144,37144.0,2016-03-26,Burkina Faso,Uganda,Burkina Faso,African Cup of Nations qualification,0.0,2.0,12.0,11.0,8.0,7.0,2.0,5.0,3.0,3.0,,,,win
37145,37145.0,2016-03-26,Burundi,Namibia,Burundi,African Cup of Nations qualification,0.0,0.0,17.0,11.0,12.0,7.0,4.0,3.0,3.0,2.0,,,,lose
37146,37146.0,2016-03-26,Cameroon,South Africa,Cameroon,African Cup of Nations qualification,-2.0,3.0,7.0,11.0,7.0,9.0,4.0,5.0,5.0,3.0,,,,draw
37147,37147.0,2016-03-26,Cape Verde,Morocco,Cape Verde,African Cup of Nations qualification,0.0,1.0,17.0,9.0,9.0,13.0,5.0,5.0,3.0,2.0,,,,lose
37148,37148.0,2016-03-26,Angola,Congo DR,Congo DR,African Cup of Nations qualification,-2.0,2.0,11.0,21.0,10.0,11.0,4.0,5.0,1.0,2.0,,,,lose
37149,37149.0,2016-03-26,Curaçao,Dominican Republic,Curaçao,CFU Caribbean Cup qualification,-1.0,1.0,15.0,23.0,7.0,17.0,3.0,4.0,4.0,0.0,,,,win
37150,37150.0,2016-03-26,England,Germany,Germany,Friendly,-1.0,5.0,14.0,15.0,16.0,19.0,7.0,7.0,2.0,1.0,,,,win
37151,37151.0,2016-03-26,Croatia,Hungary,Hungary,Friendly,2.0,5.0,19.0,13.0,8.0,9.0,5.0,5.0,3.0,3.0,,,,draw
37152,37152.0,2016-03-26,Mauritius,Rwanda,Mauritius,African Cup of Nations qualification,0.0,0.0,20.0,15.0,12.0,6.0,2.0,4.0,2.0,3.0,,,,win
37153,37153.0,2016-03-26,Finland,Poland,Poland,Friendly,-14.0,8.0,9.0,27.0,7.0,13.0,3.0,6.0,3.0,3.0,,,,lose
37154,37154.0,2016-03-26,Lithuania,Russia,Russia,Friendly,-5.0,1.0,19.0,10.0,7.0,17.0,1.0,8.0,2.0,1.0,,,,lose
37155,37155.0,2016-03-26,Niger,Senegal,Senegal,African Cup of Nations qualification,-2.0,2.0,15.0,15.0,9.0,12.0,3.0,5.0,4.0,2.0,,,,lose
37156,37156.0,2016-03-26,Lesotho,Seychelles,Seychelles,African Cup of Nations qualification,0.0,0.0,10.0,16.0,11.0,7.0,1.0,1.0,4.0,2.0,,,,lose
37157,37157.0,2016-03-26,Sint Maarten,Virgin Islands,Sint Maarten,CFU Caribbean Cup qualification,0.0,0.0,20.0,27.0,6.0,22.0,5.0,1.0,1.0,0.0,,,,lose
37158,37158.0,2016-03-27,Benin,South Sudan,Benin,African Cup of Nations qualification,1.0,0.0,21.0,16.0,7.0,0.0,4.0,3.0,1.0,3.0,,,,win
37159,37159.0,2016-03-27,Botswana,Comoros,Botswana,African Cup of Nations qualification,-1.0,1.0,15.0,9.0,10.0,4.0,4.0,0.0,1.0,6.0,,,,win
37160,37160.0,2016-03-27,Congo,Zambia,Congo,African Cup of Nations qualification,-5.0,3.0,16.0,9.0,20.0,4.0,5.0,5.0,2.0,4.0,,,,draw
37161,37161.0,2016-03-27,Guinea-Bissau,Kenya,Kenya,African Cup of Nations qualification,1.0,0.0,11.0,14.0,11.0,8.0,1.0,3.0,4.0,4.0,,,,win
