team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
62,83,83,22,-20,1,23,22,8,11,1,1,1,1,8.9846,4.7288,1.315
60,148,148,22,0,0,12,12,11,9,3,1,4,5,4.8492,3.4452,1.6612
83,105,83,36,2,0,15,17,17,18,1,0,1,0,1.2027,5.3793,11.654000000000002
53,81,81,21,-1,0,4,29,1,7,0,3,0,3,19.2125,9.4225,1.0475
106,186,186,22,-3,0,9,12,11,14,2,5,3,3,7.665,4.103,1.3985
11,69,11,36,-14,6,16,19,17,13,3,6,1,3,8.2525,4.7993,1.3418
29,132,132,21,5,7,12,10,6,6,5,1,4,3,2.3862,2.9465,2.9938
7,180,7,22,0,0,13,12,16,13,5,3,4,3,1.0583,10.5204,32.8674
144,159,159,22,-8,2,21,18,9,14,5,1,3,2,5.6835,3.83,1.5394
81,159,81,22,-1,7,14,14,20,16,2,2,3,3,2.93,3.315,2.2192
1,60,60,22,1,1,15,14,7,9,1,2,5,2,2.8904,3.2171,2.3192
10,148,148,21,3,0,8,12,11,7,5,4,3,2,1.8048,3.3168,4.2012
89,135,89,21,-2,4,15,14,18,14,5,1,2,5,1.4924,4.1717,6.55
107,146,146,22,-8,1,13,19,9,10,1,4,2,3,28.802,11.7484,1.0412
94,137,137,21,4,0,20,19,10,7,3,2,3,6,3.0304,3.0896,2.3079
115,160,160,22,-4,1,23,9,13,12,2,4,0,4,15.9239,6.8171,1.1489
80,142,80,22,0,2,14,10,14,7,2,2,4,7,3.3804,3.2462,2.0881
95,182,182,36,-3,0,13,15,14,7,2,4,1,2,31.8265,10.7223,1.0519
14,189,189,21,-2,3,15,19,10,3,4,3,1,2,4.0739,3.3043,1.8013
23,119,119,22,-6,1,18,16,9,14,1,7,2,2,6.6537,3.9858,1.4295
17,161,17,21,0,1,20,10,16,7,7,2,1,3,1.9845,3.1664,3.4
97,178,97,1,2,0,20,18,10,17,6,3,3,1,1.195,5.8321,11.5463
39,97,97,22,0,0,17,9,12,15,7,3,2,4,1.1024,8.1944,20.9464
49,82,82,22,-5,3,17,24,17,9,6,3,2,4,2.2971,3.2157,3.0204
